,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text,labels
66,66,66,1244328893516935168,1244328893516935168,1585506101000,2020-03-29 23:51:41,530,,"Were these the possible sleeper cells and hosts that let to this devastating situation in Italy? Time to think about it
.
#Covid_19 #Covid19India #CoronaUpdate #italy #coronavirus #CoronavirusLockdown #ChinaVirus #vaka9217 #COVID19italia #PMCaresFunds https://twitter.com/Echinanews/status/1225233436887015424Â â¦","['#covid_19', '#covid19india', '#coronaupdate', '#italy', '#coronavirus', '#coronaviruslockdown', '#chinavirus', '#vaka9217', '#covid19italia', '#pmcaresfunds']",[],561138260,561138260,KaranKC93,Karan Chawla,7,23,https://twitter.com/KaranKC93/status/1244328893516935168,False,2,2,0,https://twitter.com/Echinanews/status/1225233436887015424,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '561138260', 'username': 'KaranKC93'}]",,,,,,-1
80,80,80,1244328334172905472,1244328334172905472,1585505968000,2020-03-29 23:49:28,530,,"@Voot_Kids @justvoot @DiscoveryKidsLA 
Should make it free during the LOCKDOWN period.. massive potential in #customer acquisition
This would change the customer behaviour for ever.
@narendramodi #Covid19India #DigitalIndia #CoronaLockdown","['#customer', '#covid19india', '#digitalindia', '#coronalockdown']",[],241400675,241400675,ABHI13AUG,Abhinav Gupta,7,23,https://twitter.com/ABHI13AUG/status/1244328334172905472,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '241400675', 'username': 'ABHI13AUG'}, {'user_id': '1112832385026949120', 'username': 'Voot_Kids'}, {'user_id': '4802175765', 'username': 'justvoot'}, {'user_id': '45504582', 'username': 'DiscoveryKidsLA'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,,-1
116,116,116,1245055163800395779,1245055163800395779,1585679257000,2020-03-31 23:57:37,530,,"Some #relief even if temprory 
Modi govt allows #pharma firms to tweak clinical trial rules during #Covid19India #lockdown
@ChandnaHimani nice report
  https://theprint.in/health/modi-govt-allows-pharma-firms-to-tweak-clinical-trial-rules-during-covid-19-lockdown/392437/Â â¦ via @ThePrintIndia","['#relief', '#pharma', '#covid19india', '#lockdown']",[],113614704,113614704,pawankulkarni,PAWAN V KULKARNI,2,23,https://twitter.com/pawankulkarni/status/1245055163800395779,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '113614704', 'username': 'pawankulkarni'}, {'user_id': '206543464', 'username': 'ChandnaHimani'}, {'user_id': '2930935453', 'username': 'ThePrintIndia'}]",,,,,,1
162,162,162,1245053369607020544,1245053369607020544,1585678829000,2020-03-31 23:50:29,530,,Coronavirus test in India: Complete list of testing sites for coronavirus in India | India News - Times of India #Covid19India https://timesofindia.indiatimes.com/india/52-testing-sites-for-coronavirus-in-india/articleshow/74547684.cmsÂ â¦,['#covid19india'],[],44906601,44906601,ipshitanandi,Ipshita Nandi Banerjee ð,2,23,https://twitter.com/ipshitanandi/status/1245053369607020544,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '44906601', 'username': 'ipshitanandi'}]",,,,,,-1
451,451,451,1245774729618886656,1245774729618886656,1585850815000,2020-04-02 23:36:55,530,,"Comic Strip 
Day 9
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantined #artclassifiedâ¦  https://www.instagram.com/p/B-fOnX_DHxp/?igshid=ysujz3bz6fiqÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined', '#artclassified']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1245774729618886656,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
455,455,455,1245774641760788481,1245774641760788481,1585850794000,2020-04-02 23:36:34,530,,"Comic Strip 
Day 9
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B-fOk1RjsNG/?igshid=1g1eh0ra7vpnsÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1245774641760788481,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
513,513,513,1246142241413840896,1246142241413840896,1585938437000,2020-04-03 23:57:17,530,,Aftr a long time I m with my parents due to dis #lockdown.  Stil my mind is'nt stable as the problems r facing my fellow men. Alys I was thinking how 2 contribute my part in dis war agnst #Covid19India Staying home I contributed a litle to #PMCaresFund . Plz donate as per ur wish,"['#lockdown', '#covid19india', '#pmcaresfund']",[],786805644930068480,786805644930068480,JatinNotable,"Jatindra K Pradhan, PhD",5,23,https://twitter.com/JatinNotable/status/1246142241413840896,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '786805644930068480', 'username': 'JatinNotable'}]",,,,,,1
1070,1070,1070,1246494993402847232,1246494993402847232,1586022539000,2020-04-04 23:18:59,530,,"#Covid19India tests done in #Gujarat are 2276 so far, are these figures of fresh tests or also includes repetition of tests on positive cases... @CMOGuj @GujHFWDept #COVID19outbreak #coronavirus","['#covid19india', '#gujarat', '#covid19outbreak', '#coronavirus']",[],2578185314,2578185314,DhanrajNathwani,Dhanraj Nathwani,6,23,https://twitter.com/DhanrajNathwani/status/1246494993402847232,False,68,0,9,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2578185314', 'username': 'DhanrajNathwani'}, {'user_id': '765535468104585217', 'username': 'CMOGuj'}, {'user_id': '786893454488039424', 'username': 'GujHFWDept'}]",,,,,,-1
1111,1111,1111,1247230073846915072,1247230073846915072,1586197796000,2020-04-06 23:59:56,530,,"#BreakingNews The total number of Coronavirus cases in India has risen to 4,281 today, with the country 3,851 active cases and 111 deaths.
#Covid19India
#Coronafighters
#IndiaFightsCoronavirus
#IndiaAgainstCoronaVirus pic.twitter.com/fzPEIoVSgP","['#breakingnews', '#covid19india', '#coronafighters', '#indiafightscoronavirus', '#indiaagainstcoronavirus']",[],854781702,854781702,StarMohapatra,A K Mohapatra,1,23,https://twitter.com/StarMohapatra/status/1247230073846915072,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '854781702', 'username': 'StarMohapatra'}]",,,,,,-1
1517,1517,1517,1247583629888221189,1247583629888221189,1586282091000,2020-04-07 23:24:51,530,,Sir @nildeoreIAS good news only from yourdistrict #Madhubani Since last 2 week no positive case #Covid19India in #Madhubani #lockdownindia really works. Thousands of migrants are in quarantine.Prople obey #Social_Distancing @NorbertElekes data used to change everyday like #Nifty  https://twitter.com/nildeoreIAS/status/1247571814663868416Â â¦ pic.twitter.com/rbOq82ZJ2s,"['#madhubani', '#covid19india', '#madhubani', '#lockdownindia', '#social_distancing', '#nifty']",[],22483220,22483220,vinodmishra64,Vinod Mishra,2,23,https://twitter.com/vinodmishra64/status/1247583629888221189,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '22483220', 'username': 'vinodmishra64'}, {'user_id': '80651015', 'username': 'nildeoreIAS'}, {'user_id': '292558545', 'username': 'NorbertElekes'}]",,,,,,1
