,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
803,803,803,1.25772e+18,1.25772e+18,1588700000000.0,05-05-2020 22:44,530,,"U donât have to pull your mask down to talk to people. It defeats the whole purpose of the mask.
.
.
#trending #lockdown #COVID19India","['#trending', '#lockdown', '#covid19india']",[],1.06198e+18,1.06198e+18,YashPanjwani13,thedigitalyash,2,22,https://twitter.com/YashPanjwani13/status/1257720270636408832,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1061978094364475392', 'username': 'YashPanjwani13'}]",,,,,u   pull   mask   talk   peopl   defeat   whole   purpos   mask   trend   lockdown   covidindia  ,1
821,821,821,1.2581e+18,1.2581e+18,1588790000000.0,06-05-2020 23:56,530,,"Can Gangajal treat COVID-19?
Modi Govt wants a study.
ICMR says NO! ð¤£ð
@iPranavG @DsaikiaOfficial @BhupenKBorah @rohanrgupta @ripunbora
#level3
#COVID19India
#Corona
#COVID19","['#level3', '#covid19india', '#corona', '#covid19']",[],8.57808e+17,8.57808e+17,Mubarak_assam,Mubarak Hussain,3,23,https://twitter.com/Mubarak_assam/status/1258100742956736512,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '857807898608623616', 'username': 'Mubarak_assam'}, {'user_id': '780453554', 'username': 'iPranavG'}, {'user_id': '2345990976', 'username': 'DsaikiaOfficial'}, {'user_id': '1657037575', 'username': 'BhupenKBorah'}, {'user_id': '336088096', 'username': 'rohanrgupta'}, {'user_id': '1449299132', 'username': 'ripunbora'}]",,,,,gangaj   treat   covid   modi   govt   want   studi   icmr   say   level   covidindia   corona   covid  ,-1
927,927,927,1.25809e+18,1.25809e+18,1588790000000.0,06-05-2020 23:27,530,,"Ccpur District Hospital initiates measures to maintain social distancing with the phased wise ease of lockdown.
OPD is further divided between depts on on 2 schedule slots per day to prevent big groups.

We can't let our guard down. #covid19india
@NBirenSingh @Vumlunmang pic.twitter.com/w6BFJCgcW8",['#covid19india'],[],701305814.0,701305814.0,GolanNaulak,Golan Naulak,3,23,https://twitter.com/GolanNaulak/status/1258093466065625088,False,13,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '701305814', 'username': 'GolanNaulak'}, {'user_id': '841609973687762944', 'username': 'NBirenSingh'}, {'user_id': '2687929994', 'username': 'Vumlunmang'}]",,,,,ccpur   district   hospit   initi   measur   maintain   social   distanc   phase   wise   eas   lockdown   opd   divid   dept   schedul   slot   per   day   prevent   big   group   let   guard   covidindia  ,1
1108,1108,1108,1.25809e+18,1.25809e+18,1588790000000.0,06-05-2020 22:53,530,,"One person from Cachar has tested positive for #COVID19 
Now 10 active cases in Assam .
#COVID19India
#Corona","['#covid19', '#covid19india', '#corona']",[],4179483492.0,4179483492.0,paritush_assam,Paritush Choudhuryð®ð³,3,22,https://twitter.com/paritush_assam/status/1258085048198332416,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '4179483492', 'username': 'paritush_assam'}]",,,,,one   person   cachar   test   posit   covid   activ   case   assam   covidindia   corona  ,-1
1277,1277,1277,1.25808e+18,1.25808e+18,1588780000000.0,06-05-2020 22:16,530,,"#Covid19India #CoronaVirus 
Date - New Cases (Total Cases)

02 May - +2411 (37776)
03 May - +2487 (40263)
04 May - +2573 (42836)
05 May - +3875 (46711)
06 May - +2680 (49391)

Source: @MoHFW_INDIA","['#covid19india', '#coronavirus']",[],7.86804e+17,7.86804e+17,rohan_m01,Rohan Malhotra,3,22,https://twitter.com/rohan_m01/status/1258075737640169472,False,2,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '786803503016456197', 'username': 'rohan_m01'}, {'user_id': '2596143056', 'username': 'MoHFW_INDIA'}]",,,,,covidindia   coronaviru   date   new   case   total   case   may   may   may   may   may   sourc  ,-1
1333,1333,1333,1.25807e+18,1.25807e+18,1588780000000.0,06-05-2020 22:04,530,,#Lockdown is directly proportionate to success of #demonetization #COVID19 #COVID19Lockdown #COVID19India #Lockdown3 #CoronaUpdatesInIndia #Clueless #endthelockdownnow #indialockdown #MigrantLabourers #PMCares,"['#lockdown', '#demonetization', '#covid19', '#covid19lockdown', '#covid19india', '#lockdown3', '#coronaupdatesinindia', '#clueless', '#endthelockdownnow', '#indialockdown', '#migrantlabourers', '#pmcares']",[],99890249.0,99890249.0,IrfanmSayed,Irfan,3,22,https://twitter.com/IrfanmSayed/status/1258072759470452736,False,0,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '99890249', 'username': 'IrfanmSayed'}]",,,,,lockdown   directli   proportion   success   demonet   covid   covidlockdown   covidindia   lockdown   coronaupdatesinindia   clueless   endthelockdownnow   indialockdown   migrantlabour   pmcare  ,-1
1544,1544,1544,1.25845e+18,1.25845e+18,1588870000000.0,07-05-2020 23:14,530,,"#Vizag, AP: Gas leak tragedy killing at least 10, 1000 Sick

#Rajgarh, CH: Gas leak tragedy, 7 injured

#Cuddalore, TN: Boiler blast, 7 injured

All in a single day, while the #COVID19India
#lockdown continues.

What's wrong with 2020?

#VizagGasLeak #BhopalGasTragedy #India","['#vizag', '#rajgarh', '#cuddalore', '#covid19india', '#lockdown', '#vizaggasleak', '#bhopalgastragedy', '#india']",[],204304030.0,204304030.0,iAnupamMajhi,Anupam Majhi,4,23,https://twitter.com/iAnupamMajhi/status/1258452705556811781,False,0,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '204304030', 'username': 'iAnupamMajhi'}]",,,,,vizag   ap   ga   leak   tragedi   kill   least   sick   rajgarh   ch   ga   leak   tragedi   injur   cuddalor   tn   boiler   blast   injur   singl   day   covidindia   lockdown   continu   wrong   vizaggasleak   bhopalgastragedi   india  ,-1
2023,2023,2023,1.25881e+18,1.25881e+18,1588960000000.0,08-05-2020 22:53,530,,"Let's defeat #COVID19India and Hate Speech, togetherððð®ð³

""Stand up against hate, treat each other with dignity & take every opportunity to spread kindness. Protect yourself from fake news not just #Covid_19
@MoHFW_INDIA @COVIDNewsByMIB @AskAnshul @ABVPVoice @vskjaipur @1ndus pic.twitter.com/MjPLfyhiMv","['#covid19india', '#covid_19']",[],1.19825e+18,1.19825e+18,Khetan_MK,Manish Kr. Khetan ð®ð³,5,22,https://twitter.com/Khetan_MK/status/1258809798197415938,False,2,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1198247501507129344', 'username': 'Khetan_MK'}, {'user_id': '2596143056', 'username': 'MoHFW_INDIA'}, {'user_id': '1244892413262311425', 'username': 'COVIDNewsByMIB'}, {'user_id': '318673863', 'username': 'AskAnshul'}, {'user_id': '301382741', 'username': 'ABVPVoice'}, {'user_id': '2940390259', 'username': 'vskjaipur'}, {'user_id': '6874252', 'username': '1ndus'}]",,,,,let   defeat   covidindia   hate   speech   togeth   stand   hate   treat   digniti   take   everi   opportun   spread   kind   protect   fake   news   covid  ,-1
2073,2073,2073,1.25881e+18,1.25881e+18,1588960000000.0,08-05-2020 22:42,530,,"Itâs-a good sign for realestate growth, that the state government has been trying to land investments from across the globe after corona. #COVID19India @KTRTRS #realestate https://twitter.com/MinisterKTR/status/1258610612969639936Â â¦","['#covid19india', '#realestate']",[],9.25681e+17,9.25681e+17,shajwalindia,Shajwal.com #QualityRealEstateð,5,22,https://twitter.com/shajwalindia/status/1258806962361298944,False,4,0,2,https://twitter.com/MinisterKTR/status/1258610612969639936,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '925681119676153856', 'username': 'shajwalindia'}, {'user_id': '118787224', 'username': 'KTRTRS'}]",,,,,good   sign   realest   growth   state   govern   tri   land   invest   across   globe   corona   covidindia   realest  ,-1
2422,2422,2422,1.25918e+18,1.25918e+18,1589050000000.0,09-05-2020 23:31,530,,"The famous ""covid toes ""..what is the etiology?
â¡Is it associated vasculitis?
â¡Due to coagulopathy?
â¡Is it cold agglutination?
I urge all centres with #COVID19India  to evaluate patients for hemolysis as well and a serological evaluation too..
#COVID19India #MedTwitter https://twitter.com/faheema_hasan/status/1259181093414199302Â â¦","['#covid19india', '#covid19india', '#medtwitter']",[],190145782.0,190145782.0,faheema_hasan,Faheema Hasan,6,23,https://twitter.com/faheema_hasan/status/1259181614971719680,False,5,3,1,https://twitter.com/faheema_hasan/status/1259181093414199302,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '190145782', 'username': 'faheema_hasan'}]",,,,,famou   covid   toe   etiolog   associ   vascul   due   coagulopathi   cold   agglutin   urg   centr   covidindia   evalu   patient   hemolysi   well   serolog   evalu   covidindia   medtwitt  ,0
