,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
1273,1273,1273,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:38,530,,"Thank you so much for helping us in these pandemic situation @sanghaviharsh @PMOIndia
@CMOGuj
#FightAgainstCOVID19 #NarendraModi #VijayRupani #harshsanghvi #dishankpunamiyasocialacitvist
#surat pic.twitter.com/M6j9NOvvAA","['#fightagainstcovid19', '#narendramodi', '#vijayrupani', '#harshsanghvi', '#dishankpunamiyasocialacitvist', '#surat']",[],604469594.0,604469594.0,dishankpunamiya,Chowkidar Dishank punamiya #Arogyasetu,2,23,https://twitter.com/dishankpunamiya/status/1252660392268042246,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '604469594', 'username': 'dishankpunamiya'}, {'user_id': '171355391', 'username': 'sanghaviharsh'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '765535468104585217', 'username': 'CMOGuj'}]",,,,,thank   much   help   u   pandem   situat   fightagainstcovid   narendramodi   vijayrupani   harshsanghvi   dishankpunamiyasocialacitvist   surat  ,1
2026,2026,2026,1.25e+18,1.25e+18,1587670000000.0,23-04-2020 23:57,530,,Practicing social distancing. Stay st hone protect yourself and everyone you love. #GoCoronaGo #COVID19india #AloneTogether #CoronavirusIndia #lockdown #Narendra_Modi_ji #NarendraModi #ShivrajSinghChouhan pic.twitter.com/dtWjlb6K50,"['#gocoronago', '#covid19india', '#alonetogether', '#coronavirusindia', '#lockdown', '#narendra_modi_ji', '#narendramodi', '#shivrajsinghchouhan']",[],8.6e+17,8.6e+17,DdDubeydiksha98,Dikshað,4,23,https://twitter.com/DdDubeydiksha98/status/1253390040907935746,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '859627064747593730', 'username': 'DdDubeydiksha98'}]",,,,,practic   social   distanc   stay   st   hone   protect   everyon   love   gocoronago   covidindia   alonetogeth   coronavirusindia   lockdown   narendra   modi   ji   narendramodi   shivrajsinghchouhan  ,-1
2137,2137,2137,1.25e+18,1.25e+18,1587670000000.0,23-04-2020 23:34,530,,"Some pictures that are not excuse to depend on government facility.
#coronavirus
#NarendraModi
#AmitShah
#India pic.twitter.com/0GHxgCsC0w","['#coronavirus', '#narendramodi', '#amitshah', '#india']",[],170528911.0,170528911.0,PrateekChitkara,Prateek Chitkara,4,23,https://twitter.com/PrateekChitkara/status/1253384374130597888,False,0,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '170528911', 'username': 'PrateekChitkara'}]",,,,,pictur   excus   depend   govern   facil   coronaviru   narendramodi   amitshah   india  ,1
2209,2209,2209,1.25e+18,1.25e+18,1587660000000.0,23-04-2020 23:19,530,,Letâs have volunteer lockdown during this time.. this pandemic is an alarm to entire humanity to return favour to Mother Earth ð letâs all join our hands to make it happen.. #WorldHealthOrganization #NarendraModi #pmoindia #ZeeNews #aajtak #Amitshah #WHO #Geneva #Covid_19,"['#worldhealthorganization', '#narendramodi', '#pmoindia', '#zeenews', '#aajtak', '#amitshah', '#who', '#geneva', '#covid_19']",[],1.19e+18,1.19e+18,DeepakS11394197,Deepak Pandit,4,23,https://twitter.com/DeepakS11394197/status/1253380552721223680,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1189465715083862016', 'username': 'DeepakS11394197'}]",,,,,let   volunt   lockdown   time   pandem   alarm   entir   human   return   favour   mother   earth   let   join   hand   make   happen   worldhealthorgan   narendramodi   pmoindia   zeenew   aajtak   amitshah   geneva   covid  ,1
2445,2445,2445,1.25e+18,1.25e+18,1587750000000.0,24-04-2020 23:45,530,,"""Lysol and Dettol manufacturer tells customers not to inject disinfectants as possible treatment for COVID-19""   https://twitter.com/i/events/1253685755278266368Â â¦
#Covid_19 #india #Narendra_Modi_ji #workfromhome #StayHomeStaySafe #NarendraModi #AmitShah #bjp","['#covid_19', '#india', '#narendra_modi_ji', '#workfromhome', '#stayhomestaysafe', '#narendramodi', '#amitshah', '#bjp']",[],8.64e+17,8.64e+17,awsm_chirag,Chirag Gupta,5,23,https://twitter.com/awsm_chirag/status/1253749398569463811,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '864416021053980673', 'username': 'awsm_chirag'}]",,,,,lysol   dettol   manufactur   tell   custom   inject   disinfect   possibl   treatment   covid   covid   india   narendra   modi   ji   workfromhom   stayhomestaysaf   narendramodi   amitshah   bjp  ,-1
3267,3267,3267,1.25e+18,1.25e+18,1587920000000.0,26-04-2020 23:20,530,,"Dear #NarendraModi Sir... 
Once our country comes out of this present crisis of corona virus and life gets back to normal the first thing we urge you to do is to bring Population Control Bill in the country.Consult it with the experts plan it well make all the necessary 
Thanks",['#narendramodi'],[],1.24e+18,1.24e+18,SurajKu17164424,Suraj Kumar,7,23,https://twitter.com/SurajKu17164424/status/1254467781786927104,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1244179203089522689', 'username': 'SurajKu17164424'}]",,,,,dear   narendramodi   sir   countri   come   present   crisi   corona   viru   life   get   back   normal   first   thing   urg   bring   popul   control   bill   countri   consult   expert   plan   well   make   necessari   thank  ,-1
5103,5103,5103,1.26e+18,1.26e+18,1588270000000.0,30-04-2020 22:48,530,,"We have no problem for contribution  1 day salary for one year, no need DA for one year but save my India and my peoples too covid-19. To respected and honorable P.M. #NarendraModi jee , honorable H.M.#AmitShah jee.","['#narendramodi', '#amitshah']",[],3117472733.0,3117472733.0,51399efed1b340f,Malay Sarkar,4,22,https://twitter.com/51399efed1b340f/status/1255909504002244609,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3117472733', 'username': '51399efed1b340f'}]",,,,,problem   contribut   day   salari   one   year   need   da   one   year   save   india   peopl   covid   respect   honor   p   narendramodi   jee   honor   h   amitshah   jee  ,1
5221,5221,5221,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:47,530,,"#narendramodi ka faisla 2 week k liye bdha lockdown red zone me jyada strictness orange zone me thodi bht exemptions or green zone me onln delivery or bht si exemption di gyi h 
Labours or students ko train se unke ghr vapas bheja ja rha h.",['#narendramodi'],[],1.24e+18,1.24e+18,Anjali63887259,siyappa queenðð,5,23,https://twitter.com/Anjali63887259/status/1256286616827674624,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1239490339582259201', 'username': 'Anjali63887259'}]",,,,,narendramodi   ka   faisla   week   k   liy   bdha   lockdown   red   zone   jyada   strict   orang   zone   thodi   bht   exempt   green   zone   onln   deliveri   bht   si   exempt   di   gyi   h   labour   student   ko   train   se   unk   ghr   vapa   bheja   ja   rha   h  ,0
5363,5363,5363,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:23,530,,#coronafighters #covid_19 #india #indiapm #narendramodi #doctors #police #satisfying #akshaykumar #terimittiâ¤ï¸ please support our honourable #pm and follow the rules to save our nation India ð®ð³ ð @narendramodi @â¦  https://www.instagram.com/p/B_p3juoJxPV/?igshid=q27gzra6sd9rÂ â¦,"['#coronafighters', '#covid_19', '#india', '#indiapm', '#narendramodi', '#doctors', '#police', '#satisfying', '#akshaykumar', '#terimitti', '#pm']",[],3001051164.0,3001051164.0,mukeshrai489,Im_Mukesh Rai,5,23,https://twitter.com/mukeshrai489/status/1256280480216989706,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3001051164', 'username': 'mukeshrai489'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,coronafight   covid   india   indiapm   narendramodi   doctor   polic   satisfi   akshaykumar   terimitti   pleas   support   honour   pm   follow   rule   save   nation   india  ,1
5675,5675,5675,1.26e+18,1.26e+18,1588440000000.0,02-05-2020 23:10,530,,"#PMOfIndia #MamtaBanerjee #NarendraModi 

Respected Sir/Madam,

My name is Basant Ranga from Purulia ,my wife got stuck in Kolkata due to lockdown from last 45 days ,I want permission letter to bring back my wife from Kolkata to purulia location.Please help us.","['#pmofindia', '#mamtabanerjee', '#narendramodi']",[],166993573.0,166993573.0,100basant,Basant,6,23,https://twitter.com/100basant/status/1256639675617415171,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '166993573', 'username': '100basant'}]",,,,,pmofindia   mamtabanerje   narendramodi   respect   sir   madam   name   basant   ranga   purulia   wife   got   stuck   kolkata   due   lockdown   last   day   want   permiss   letter   bring   back   wife   kolkata   purulia   locat   pleas   help   u  ,1
