,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
286,286,286,1.25736e+18,1.25736e+18,1588610000000.0,04-05-2020 23:11,530,,"# Fight4Right #NarendraModi 3/4 Nothing, only sense I get from today by 17/05/20, cases will double by end of lockdown 3.0 , so do we again get continued lockdown 4.0 by the Govt. Decision 2 open liquor shop which showed no sense of social distancing surely not for well being",['#narendramodi'],[],2296611235.0,2296611235.0,SLuharuwalla,Sandip Luharuwalla,1,23,https://twitter.com/SLuharuwalla/status/1257364699647221764,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2296611235', 'username': 'SLuharuwalla'}]",,,,,fightright   narendramodi   noth   sens   get   today   case   doubl   end   lockdown   get   continu   lockdown   govt   decis   open   liquor   shop   show   sens   social   distanc   sure   well  ,1
369,369,369,1.25736e+18,1.25736e+18,1588610000000.0,04-05-2020 22:55,530,,"#Fight4Right 2/4 #NarendraModi Lockdown 2.0 was 1000 cases per day and now lockdown 3.0 shows a further doubling. Concludes, lockdown is just a pause button to coronavirus, which we all know is part of life and wiil be  with us for a long time then what the Govt would achieve","['#fight4right', '#narendramodi']",[],2296611235.0,2296611235.0,SLuharuwalla,Sandip Luharuwalla,1,22,https://twitter.com/SLuharuwalla/status/1257360619210186756,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2296611235', 'username': 'SLuharuwalla'}]",,,,,fightright   narendramodi   lockdown   case   per   day   lockdown   show   doubl   conclud   lockdown   paus   button   coronaviru   know   part   life   wiil   u   long   time   govt   would   achiev  ,-1
648,648,648,1.25773e+18,1.25773e+18,1588700000000.0,05-05-2020 23:12,530,,"On getting news of liquor shops opening. 
#liqourshops
#Say_No_To_Alcohol
#FreeTrains4Workers
#girlslockeroom
#KashmirGetsPulitzer
#Lockdown3
#coronavirusinindia
#COVID19
#coronavirus
#Valimai
#boyslockeroom
#Bollywood
#boislockerroom
#NarendraModi
#wineshops pic.twitter.com/s8WU8Q60pN","['#liqourshops', '#say_no_to_alcohol', '#freetrains4workers', '#girlslockeroom', '#kashmirgetspulitzer', '#lockdown3', '#coronavirusinindia', '#covid19', '#coronavirus', '#valimai', '#boyslockeroom', '#bollywood', '#boislockerroom', '#narendramodi', '#wineshops']",[],96585902.0,96585902.0,Be_Neutral_Best,à¤à¤à¤¶à¥à¤² à¤à¤à¥à¤°à¤µà¤¾à¤² âð»,2,23,https://twitter.com/Be_Neutral_Best/status/1257727449145602053,False,2,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '96585902', 'username': 'Be_Neutral_Best'}]",,,,,get   news   liquor   shop   open   liqourshop   say   alcohol   freetrainswork   girlslockeroom   kashmirgetspulitz   lockdown   coronavirusinindia   covid   coronaviru   valimai   boyslockeroom   bollywood   boislockerroom   narendramodi   wineshop  ,-1
2502,2502,2502,1.25918e+18,1.25918e+18,1589050000000.0,09-05-2020 23:10,530,,"Storng alone my real request ð ð· ð
 Happen then first Gujarat in at ahmedabad in whereany people let's storng for if ignore your don't mask change coronavirus on copy believe if Your are take carefull change family heart important of stay home done..
#NarendraModi
#Ahmedabad pic.twitter.com/W5YLswftHJ","['#narendramodi', '#ahmedabad']",[],1.19683e+18,1.19683e+18,JayendraDeaf,Jayendra ( Deaf ),6,23,https://twitter.com/JayendraDeaf/status/1259176437938106368,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1196826090167160832', 'username': 'JayendraDeaf'}]",,,,,storng   alon   real   request   happen   first   gujarat   ahmedabad   whereani   peopl   let   storng   ignor   mask   chang   coronaviru   copi   believ   take   careful   chang   famili   heart   import   stay   home   done   narendramodi   ahmedabad  ,1
2670,2670,2670,1.25917e+18,1.25917e+18,1589040000000.0,09-05-2020 22:34,530,,@ineilpatil @Veena_World how can you apply cancellation charges on a refund for a tour that you have cancelled because of  pandemic. Is this ethical? #veenaworld #unethical #coronomics #coronavirus #pandemic #NarendraModi #looting #CoronaUpdatesInIndia #CoronaPandemic #Corona,"['#veenaworld', '#unethical', '#coronomics', '#coronavirus', '#pandemic', '#narendramodi', '#looting', '#coronaupdatesinindia', '#coronapandemic', '#corona']",[],19522822.0,19522822.0,prashantkarkera,Prashant Karkera,6,22,https://twitter.com/prashantkarkera/status/1259167249383985152,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '19522822', 'username': 'prashantkarkera'}, {'user_id': '101724056', 'username': 'ineilpatil'}, {'user_id': '1595861275', 'username': 'Veena_World'}]",,,,,appli   cancel   charg   refund   tour   cancel   pandem   ethic   veenaworld   uneth   coronom   coronaviru   pandem   narendramodi   loot   coronaupdatesinindia   coronapandem   corona  ,-1
2794,2794,2794,1.25955e+18,1.25955e+18,1589130000000.0,10-05-2020 23:48,530,,"""Hard TimesÂ Will Always RevealÂ True Friend""

Now when the whole world is going through tough time due to this pandamic, the true color of #VeenaWorld has surfaced. #Looting #takingadvantage #pandamic #noresponse #poorcustomercare #NarendraModi #coronavirus @Veena_World","['#veenaworld', '#looting', '#takingadvantage', '#pandamic', '#noresponse', '#poorcustomercare', '#narendramodi', '#coronavirus']",[],19522822.0,19522822.0,prashantkarkera,Prashant Karkera,7,23,https://twitter.com/prashantkarkera/status/1259548472291753985,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '19522822', 'username': 'prashantkarkera'}, {'user_id': '1595861275', 'username': 'Veena_World'}]",,,,,hard   time   alway   reveal   true   friend   whole   world   go   tough   time   due   pandam   true   color   veenaworld   surfac   loot   takingadvantag   pandam   norespons   poorcustomercar   narendramodi   coronaviru  ,-1
3399,3399,3399,1.25991e+18,1.25991e+18,1589220000000.0,11-05-2020 23:30,530,,"@ravikishann @myogiadityanath @Dm_Gorakhpur @OfficeofUT @AUThackeray  Pls insure  PASS with utmost priority to the pregnant lady  , as they want to travel with their own vehicle With safety at priority. @TheLallantop @ndtvindia
#Covid_19
#motherhood
#NarendraModi pic.twitter.com/gIQkgufozJ","['#covid_19', '#motherhood', '#narendramodi']",[],96085143.0,96085143.0,praveen_vijay_,Praveen Shukla,1,23,https://twitter.com/praveen_vijay_/status/1259906341621190656,False,1,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '96085143', 'username': 'praveen_vijay_'}, {'user_id': '114707587', 'username': 'ravikishann'}, {'user_id': '3437532637', 'username': 'myogiadityanath'}, {'user_id': '1009338331518230528', 'username': 'Dm_Gorakhpur'}, {'user_id': '1144169755672113155', 'username': 'OfficeofUT'}, {'user_id': '1606048885', 'username': 'AUThackeray'}, {'user_id': '4057311554', 'username': 'TheLallantop'}, {'user_id': '321271735', 'username': 'ndtvindia'}]",,,,,pl   insur   pa   utmost   prioriti   pregnant   ladi   want   travel   vehicl   safeti   prioriti   covid   motherhood   narendramodi  ,1
3726,3726,3726,1.25989e+18,1.25989e+18,1589220000000.0,11-05-2020 22:24,530,,We will agree with whatever decision the Central Government takes on #lockdown but our advice is to extend the lockdown till the end of May: #Bihar Chief Minister Nitish Kumar during video conference with PM #NarendraModi today #COVID19 pic.twitter.com/e0sZVOWoUt,"['#lockdown', '#bihar', '#narendramodi', '#covid19']",[],181491054.0,181491054.0,sirajnoorani,Journalist Siraj Noorani,1,22,https://twitter.com/sirajnoorani/status/1259889692859871233,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '181491054', 'username': 'sirajnoorani'}]",,,,,agre   whatev   decis   central   govern   take   lockdown   advic   extend   lockdown   till   end   may   bihar   chief   minist   nitish   kumar   video   confer   pm   narendramodi   today   covid  ,-1
3840,3840,3840,1.26027e+18,1.26027e+18,1589310000000.0,12-05-2020 23:53,530,,"@nsitharaman
@nsitharamanoffc
#NarendraModi
#AtmanirbharBharat
Ma'am,do we get Schools/College Fee waiver for 1st qtr or till lockdown?
Pl include it for 40 Crores Students.
It will be biggest relief ever. All institutions hv sufficient reserve funds. Check their balance sheets.","['#narendramodi', '#atmanirbharbharat']",[],7.64746e+17,7.64746e+17,rajeevhdr,Rajeev Sagar,2,23,https://twitter.com/rajeevhdr/status/1260274508037910533,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '764746236108779520', 'username': 'rajeevhdr'}, {'user_id': '58243368', 'username': 'nsitharaman'}, {'user_id': '912211757363367936', 'username': 'nsitharamanoffc'}]",,,,,narendramodi   atmanirbharbharat   get   school   colleg   fee   waiver   st   qtr   till   lockdown   pl   includ   crore   student   biggest   relief   ever   institut   hv   suffici   reserv   fund   check   balanc   sheet  ,1
3846,3846,3846,1.26027e+18,1.26027e+18,1589310000000.0,12-05-2020 23:53,530,,"Modiji focused on Local products and businesses.... What will opposition do now... During Lockdown they can't import things... Bada Sankat aa gaya bhai ð¤£ð¤£
.
.
#Covid_19 #20LakhCrores #Local #NarendraModi #modispeech
@narendramodi @PMOIndia @pkumarcse7 @INCIndia","['#covid_19', '#20lakhcrores', '#local', '#narendramodi', '#modispeech']",[],1867819314.0,1867819314.0,sinrahul1996,RAHUL  SINGH,2,23,https://twitter.com/sinrahul1996/status/1260274395274076160,False,2,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1867819314', 'username': 'sinrahul1996'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '355404524', 'username': 'pkumarcse7'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",,,,,modiji   focus   local   product   busi   opposit   lockdown   import   thing   bada   sankat   aa   gaya   bhai   covid   lakhcror   local   narendramodi   modispeech  ,-1
