,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text,labels
134,134,134,1245054348838617088,1245054348838617088,1585679063000,2020-03-31 23:54:23,530,,Whether there was govt order or not is irrelevant. I ask the #TablighiJamaat Does being religious absolve u from being socially responsible? So u will not be a responsible citizen until thereâs an official order? Religion blinded u to a global pandemic that spreads human to human  https://twitter.com/AfridaRahmanAli/status/1245052238705225729Â â¦,['#tablighijamaat'],[],50525970,50525970,AfridaRahmanAli,Afrida Rahman Ali,2,23,https://twitter.com/AfridaRahmanAli/status/1245054348838617088,False,6,5,1,https://twitter.com/AfridaRahmanAli/status/1245052238705225729,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '50525970', 'username': 'AfridaRahmanAli'}]",,,,,,-1
262,262,262,1245415158861594624,1245415158861594624,1585765087000,2020-04-01 23:48:07,530,,Work at home #nizamuddin #tablighijamaat #covid_19 #corona #india pic.twitter.com/TZRO29eB87,"['#nizamuddin', '#tablighijamaat', '#covid_19', '#corona', '#india']",[],849065108743573509,849065108743573509,Mushahidpathan5,Mushahid pathan ð¤ ÙØ´Ø§ÛØ¯ Ù¾Ù¹Ú¾Ø§Ù,3,23,https://twitter.com/Mushahidpathan5/status/1245415158861594624,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '849065108743573509', 'username': 'Mushahidpathan5'}]",,,,,,-1
493,493,493,1245773201411411968,1245773201411411968,1585850451000,2020-04-02 23:30:51,530,,"Amidst the on going #Covid_19 crisis, Media is shifting the #pandemic to a Hindu-Muslim issue. An organized media conspiracy against the #TablighiJamaat is unacceptable. During the medical emergency, people deserve love and care, not hatred and fear mongering.
#FakeNews","['#covid_19', '#pandemic', '#tablighijamaat', '#fakenews']",[],1180543936307191808,1180543936307191808,MdNizam75389980,#kingkhanofficial,4,23,https://twitter.com/MdNizam75389980/status/1245773201411411968,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1180543936307191808', 'username': 'MdNizam75389980'}]",,,,,,-1
798,798,798,1246505150052696064,1246505150052696064,1586024961000,2020-04-04 23:59:21,530,,"Tablighi Jamat donates 647 Covid-19 cases in #PMCARES Relief Fund...!!
#TablighiJamat","['#pmcares', '#tablighijamat']",[],890855791619706882,890855791619706882,ankur_sakpal,Sakpalll,6,23,https://twitter.com/ankur_sakpal/status/1246505150052696064,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '890855791619706882', 'username': 'ankur_sakpal'}]",,,,,,-1
894,894,894,1246501614690672640,1246501614690672640,1586024118000,2020-04-04 23:45:18,530,,"This is called social distance, kuchh toh sikh lo karam jalon #lockdown #COVID19Pandemic #StayHomeStaySafe #COVID2019 #TabligiJamaat #TablighiJammat pic.twitter.com/vZVNgQbrwG","['#lockdown', '#covid19pandemic', '#stayhomestaysafe', '#covid2019', '#tabligijamaat', '#tablighijammat']",[],744397733016965121,744397733016965121,mohanty_manasi,Manasi mohanty,6,23,https://twitter.com/mohanty_manasi/status/1246501614690672640,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '744397733016965121', 'username': 'mohanty_manasi'}]",,,,,,-1
1203,1203,1203,1247225974669733888,1247225974669733888,1586196819000,2020-04-06 23:43:39,530,,"#TablighiJamaat incident has screwed our curve. If an extended lockdown is on cards, nothing better than a super strict lock down till 31st May @PMOIndia @narendramodi @CMofKarnataka please consider.",['#tablighijamaat'],[],140893673,140893673,abyjoshi,Abhijit joshi,1,23,https://twitter.com/abyjoshi/status/1247225974669733888,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '140893673', 'username': 'abyjoshi'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '2713703797', 'username': 'CMofKarnataka'}]",,,,,,1
1253,1253,1253,1247224131470254081,1247224131470254081,1586196379000,2020-04-06 23:36:19,530,,"Alright, so the agenda is set for the rest of the lockdown period (how many ever days it may be). 
1. #CoronaMuktBharat
2. #TablighiMuktDelhi
& last but not the least
3. #CongressMuktBharat
India in cleansing mode! 
#JaiHind pic.twitter.com/7k4UwITJ2v","['#coronamuktbharat', '#tablighimuktdelhi', '#congressmuktbharat', '#jaihind']",[],4387213392,4387213392,dmostvalued,Dinesh Vaswani,1,23,https://twitter.com/dmostvalued/status/1247224131470254081,False,6,0,5,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '4387213392', 'username': 'dmostvalued'}]",,,,,,1
1549,1549,1549,1247582480330190854,1247582480330190854,1586281816000,2020-04-07 23:20:16,530,,"14 month child stabbed to death due to #coronavirus in jamnagar of gujarat. 

#coronagujarat #India #IndiaFightsCorona #StayHomeIndia #TablighiJamatVirus","['#coronavirus', '#coronagujarat', '#india', '#indiafightscorona', '#stayhomeindia', '#tablighijamatvirus']",[],981753363288084481,981753363288084481,Saurabhmoon8,Official Saurabh Mun,2,23,https://twitter.com/Saurabhmoon8/status/1247582480330190854,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '981753363288084481', 'username': 'Saurabhmoon8'}]",,,,,,-1
1640,1640,1640,1247952748873580544,1247952748873580544,1586370095000,2020-04-08 23:51:35,530,,"This is #Sopore, #Kashmir after a militant got killed by security forces Brazen violation of #SocialDistancing?
Why the hell these #TablighiJamaat bent to kill humanity? As a citizen of J&K ? 2authorities! Is d #lockdown only 4 law abiding ones or is it also for such people too?  pic.twitter.com/LWaDhgHKUy","['#sopore', '#kashmir', '#socialdistancing', '#tablighijamaat', '#lockdown']",[],1908865428,1908865428,HUNARGUPTABJP1,á©áªá¯. á¼ááá©á Gáá­Tá© ÛÙØ± Ú¯Ù¾ØªØ§,3,23,https://twitter.com/HUNARGUPTABJP1/status/1247952748873580544,False,8,1,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1908865428', 'username': 'HUNARGUPTABJP1'}]",,,,,,-1
2125,2125,2125,1248678901338869760,1248678901338869760,1586543224000,2020-04-10 23:57:04,530,,10 Tablighi Jamaat members and 3 locals are reportedly taken into police custody  by Greater Noida Police.. from a village nearby Surajpur . #TablighiJamaat #Nizamuddin #Markson #Covid_19india pic.twitter.com/Y8DxDvrLIq,"['#tablighijamaat', '#nizamuddin', '#markson', '#covid_19india']",[],39551720,39551720,TenNewsDotIn,TenNews.In : National News Portal,5,23,https://twitter.com/TenNewsDotIn/status/1248678901338869760,False,0,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '39551720', 'username': 'TenNewsDotIn'}]",,,,,,-1
