,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
387,387,387,1.25e+18,1.25e+18,1587230000000.0,18-04-2020 22:49,530,,"Sumanth, it's because 30% of Indian Corona Virus cases are from this #TablighiJamat .. While others are getting themselves tested and quarantined, these Tablighi's are hiding, not testing, if quarantined spitting & harassing healthcare workers.",['#tablighijamat'],[],709160316.0,709160316.0,SajivSBLR,Sajiv,6,22,https://twitter.com/SajivSBLR/status/1251561045233000449,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '709160316', 'username': 'SajivSBLR'}, {'user_id': '240649814', 'username': 'TimesNow'}, {'user_id': '54436268', 'username': 'sumanthraman'}, {'user_id': '97442036', 'username': 'thenewshour'}]",,,,,sumanth   indian   corona   viru   case   tablighijamat   other   get   test   quarantin   tablighi   hide   test   quarantin   spit   harass   healthcar   worker  ,-1
635,635,635,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:19,530,,@narendramodi why are you not taking action against #TablighiJamat karnataka law makers are suffering ashakarmi every one.Extend lockdown convert to seal down.,['#tablighijamat'],[],1.17e+18,1.17e+18,geethsrao,geethsrao,7,23,https://twitter.com/geethsrao/status/1251930873500504067,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1171278049616121856', 'username': 'geethsrao'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,take   action   tablighijamat   karnataka   law   maker   suffer   ashakarmi   everi   one   extend   lockdown   convert   seal  ,1
949,949,949,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:21,530,,"Incidents of attacking health workers and police can not be a part of a conspiracy, but due to rumours and mistrust.
The governments are not to rule over people but for their welfare while gaining faith and building the trust between citizens. #coronavirus #TablighiJamaat","['#coronavirus', '#tablighijamaat']",[],46084734.0,46084734.0,RehmanMujeeb,Mujeeb ur Rehman,1,23,https://twitter.com/RehmanMujeeb/status/1252293940406972417,False,1,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '46084734', 'username': 'RehmanMujeeb'}]",,,,,incid   attack   health   worker   polic   part   conspiraci   due   rumour   mistrust   govern   rule   peopl   welfar   gain   faith   build   trust   citizen   coronaviru   tablighijamaat  ,-1
1617,1617,1617,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:52,530,,"Goa has no #COVIDIOTS of #TablighiJamat so it successfully controlled it - but in Telangana Tamilnadu Andhrapradesh CMs first denied the presence of pandemic , later spoke Very softly on #Markaz hiding pool - so niw Suryapet Old city more cases bursting","['#covidiots', '#tablighijamat', '#markaz']",[],7.98e+17,7.98e+17,HydWatch,Indian Voices on Public problems,3,23,https://twitter.com/HydWatch/status/1253026506000850944,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '797761076595068928', 'username': 'HydWatch'}, {'user_id': '803852655797878784', 'username': 'dasyamofficial'}, {'user_id': '1137003304381108224', 'username': 'HiWarangal'}]",,,,,goa   covidiot   tablighijamat   success   control   telangana   tamilnadu   andhrapradesh   cm   first   deni   presenc   pandem   later   spoke   softli   markaz   hide   pool   niw   suryapet   old   citi   case   burst  ,-1
1912,1912,1912,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:01,530,,"Bit Confusing- Police Searching and being quarantine every #Tablighis all over India.. bt the main culprit #MaulanaSaad is away to being arrest in just delhi only. 

Aur haan woh audio pe audio bhi release kar rha hai. Samajh se pre hai

#CoronavirusPandemic
#TabligiJamaatVirus","['#tablighis', '#maulanasaad', '#coronaviruspandemic', '#tabligijamaatvirus']",[],1617715118.0,1617715118.0,astosh_sharma,Ashutosh (#StayHomeStaySafe),3,23,https://twitter.com/astosh_sharma/status/1253013536097341445,False,2,1,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1617715118', 'username': 'astosh_sharma'}]",,,,,bit   confus   polic   search   quarantin   everi   tablighi   india   bt   main   culprit   maulanasaad   away   arrest   delhi   aur   haan   woh   audio   pe   audio   bhi   releas   kar   rha   hai   samajh   se   pre   hai   coronaviruspandem   tabligijamaatviru  ,-1
3035,3035,3035,1.25e+18,1.25e+18,1587840000000.0,25-04-2020 22:50,530,,"Delhi Govt requests #TablighiJamaat members who have recovered from #COVID to donate plasma for other patients. 
TJ members readily agree! Theyâre literally giving their blood to cure others but no TV news channel will talk about this #Covid_19india #PlasmaTherapy #ramadankareem","['#tablighijamaat', '#covid', '#covid_19india', '#plasmatherapy', '#ramadankareem']",[],1.25e+18,1.25e+18,Luqman_Khan_1,Luqman Khan,6,22,https://twitter.com/Luqman_Khan_1/status/1254098071492759552,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1253317090708054019', 'username': 'Luqman_Khan_1'}]",,,,,delhi   govt   request   tablighijamaat   member   recov   covid   donat   plasma   patient   tj   member   readili   agre   liter   give   blood   cure   other   tv   news   channel   talk   covid   india   plasmatherapi   ramadankareem  ,1
3435,3435,3435,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:46,530,,"All of us should also urge the release of the members of the Tablighi Jamaat who have been kept in quarantine for 28 days instead of 14 days.

#TablighiJamat
#TablighiHereos
@LtGovDelhi @AfreenFatima136 @ArvindKejriwal","['#tablighijamat', '#tablighihereos']",[],573719878.0,573719878.0,comradewaseem,Waseem AhmadØ ÙØ³ÛÙ Ø§Ø­ÙØ¯,1,23,https://twitter.com/comradewaseem/status/1254836935291363329,False,2,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '573719878', 'username': 'comradewaseem'}, {'user_id': '815473030868545537', 'username': 'LtGovDelhi'}, {'user_id': '993206956025368577', 'username': 'AfreenFatima136'}, {'user_id': '405427035', 'username': 'ArvindKejriwal'}]",,,,,u   also   urg   releas   member   tablighi   jamaat   kept   quarantin   day   instead   day   tablighijamat   tablighihereo  ,0
3550,3550,3550,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:22,530,,"#TablighiJamaat followers Donating  Plasma for the #CoronaVirus treatment in India.
Indian Media accused them as ""Super spreaders"",called it Corona Jihad but still they want to save the lives of fellow Indians.

Real Heroes!
#à¤¤à¤¬à¥à¤²à¥à¤à¥_à¤à¤®à¤¾à¤¤_à¤ªà¤°_à¤à¤°à¥à¤µ_à¤¹à¥
#TablighiHeros
#Coronaindia pic.twitter.com/AiikOEAtJA","['#tablighijamaat', '#coronavirus', '#à¤¤à¤¬à¥à¤²à¥à¤à¥_à¤à¤®à¤¾à¤¤_à¤ªà¤°_à¤à¤°à¥à¤µ_à¤¹à¥', '#tablighiheros', '#coronaindia']",[],463656236.0,463656236.0,AMubarakamk,Abdul Mubarak Karaje,1,23,https://twitter.com/AMubarakamk/status/1254830811339091968,False,12,5,5,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '463656236', 'username': 'AMubarakamk'}]",,,,,tablighijamaat   follow   donat   plasma   coronaviru   treatment   india   indian   medium   accus   super   spreader   call   corona   jihad   still   want   save   life   fellow   indian   real   hero   tablighihero   coronaindia  ,1
3588,3588,3588,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:13,530,,It's your perception. A group #TablighiJamaat did the crime but Muslim leaders came to defend the non-defendables and brought the Muslims in the picture. Still now you are maligning yourself defending individuals or a jamati group creating trouble in quarantine centers.,['#tablighijamaat'],[],2901111054.0,2901111054.0,satyaban_sen,Satyaban Sen,1,23,https://twitter.com/satyaban_sen/status/1254828624303124483,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2901111054', 'username': 'satyaban_sen'}, {'user_id': '58406433', 'username': 'yourUsualEnemy'}]",,,,,percept   group   tablighijamaat   crime   muslim   leader   came   defend   non   defend   brought   muslim   pictur   still   malign   defend   individu   jamati   group   creat   troubl   quarantin   center  ,-1
3988,3988,3988,1.26e+18,1.26e+18,1588100000000.0,28-04-2020 23:19,530,,"Liberals(à¤¬à¥à¤¦à¥à¤§à¤à¥à¤µà¥) are calling them ""tablighi heroes"" because they are donating plasma for treatment corona patient.
.
Few days later they will demand ""Bharat Ratna"" for tablighi people.
.
Waah bhai waah.
#Tablighi_Jamat
@sambitswaraj @KapilMishra_IND
@p_sahibsingh",['#tablighi_jamat'],[],1.18e+18,1.18e+18,MrSatyamRay,Mr. Satyam Ray(Alpha),2,23,https://twitter.com/MrSatyamRay/status/1255192501188734983,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1178200874562113539', 'username': 'MrSatyamRay'}, {'user_id': '1368737382', 'username': 'sambitswaraj'}, {'user_id': '31656892', 'username': 'KapilMishra_IND'}, {'user_id': '477500631', 'username': 'p_sahibsingh'}]",,,,,liber   call   tablighi   hero   donat   plasma   treatment   corona   patient   day   later   demand   bharat   ratna   tablighi   peopl   waah   bhai   waah   tablighi   jamat  ,0
