,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text,labels
778,778,778,1246132726161440769,1246132726161440769,1585936168000,2020-04-03 23:19:28,530,,"Haters and leftists can protest by keeping lights off whole day and switching them on just for 9 minutes ð
#9Minutesat9PM #9Minute9baje #coronawarriors #lockdown #corona","['#9minutesat9pm', '#9minute9baje', '#coronawarriors', '#lockdown', '#corona']",[],446875340,446875340,jigneshprmr,Bramhagyani,5,23,https://twitter.com/jigneshprmr/status/1246132726161440769,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '446875340', 'username': 'jigneshprmr'}]",,,,,,-1
614,614,614,1246138494516248576,1246138494516248576,1585937543000,2020-04-03 23:42:23,530,,"Technically we are fighting two pandemics:
1.covid-19
2.stupidity 
#thalibajao #diyeyjalao
#Modi_madari_bndar_lovde_mulle","['#thalibajao', '#diyeyjalao', '#modi_madari_bndar_lovde_mulle']",[],813588472124555264,813588472124555264,SheikhJunai,Junaid__Maqbool_,5,23,https://twitter.com/SheikhJunai/status/1246138494516248576,False,14,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '813588472124555264', 'username': 'SheikhJunai'}]",,,,,,-1
1619,1619,1619,1247953690301853696,1247953690301853696,1586370320000,2020-04-08 23:55:20,530,,"I salute the entire team fighting an epidemic like Corona. And in this hour of crisis, the whole country is following the Prime Minister @narendramodi we will win.
@sambitswaraj
@myogiadityanath
@PMOIndia
@abwaup
#ThankYouCoronaWarriors pic.twitter.com/hoT6ZMLzub",['#thankyoucoronawarriors'],[],2153014483,2153014483,vikassinghdeled,à¤°à¤¾à¤à¤ªà¥à¤¤ à¤µà¤¿à¤à¤¾à¤¸ à¤¸à¤¿à¤à¤¹ (à¤ªà¥à¤°à¤¦à¥à¤¶ à¤à¤§à¥à¤¯à¤à¥à¤·),3,23,https://twitter.com/vikassinghdeled/status/1247953690301853696,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2153014483', 'username': 'vikassinghdeled'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '1368737382', 'username': 'sambitswaraj'}, {'user_id': '3437532637', 'username': 'myogiadityanath'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '940637952291495936', 'username': 'abwaup'}]",,,,,,0
1653,1653,1653,1247952328717520898,1247952328717520898,1586369995000,2020-04-08 23:49:55,530,,"Responding to Prime Minister Shri Narendra Modiâs call, the country has united in tackling COVID-19. In this valiant battle for humanityâs future, Corona Warriors are at the forefront. I salute their grit and determination. Join. #ThankYouCoronaWarriors https://thankyou.bjp.org/message?id=1586369938546Â â¦",['#thankyoucoronawarriors'],[],1158804702580002818,1158804702580002818,AmalVAnil2,Amal V Anil,3,23,https://twitter.com/AmalVAnil2/status/1247952328717520898,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1158804702580002818', 'username': 'AmalVAnil2'}]",,,,,,1
1654,1654,1654,1247952284777996288,1247952038790451200,1586369985000,2020-04-08 23:49:45,530,,"The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness & prosperity
#ThankYouCoronaWarriors ð

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",['#thankyoucoronawarriors'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,3,23,https://twitter.com/amarprasadreddy/status/1247952284777996288,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2167816332', 'username': 'amarprasadreddy'}, {'user_id': '4549784234', 'username': 'NamanJainBJP'}]",,,,,,1
1655,1655,1655,1247952259880611840,1247951984637992960,1586369979000,2020-04-08 23:49:39,530,,"The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness & prosperity
#ThankYouCoronaWarriors ð

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",['#thankyoucoronawarriors'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,3,23,https://twitter.com/amarprasadreddy/status/1247952259880611840,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2167816332', 'username': 'amarprasadreddy'}, {'user_id': '1160208522350596100', 'username': 'kau_sha_l'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '1447949844', 'username': 'AmitShah'}]",,,,,,1
1656,1656,1656,1247952224967262208,1247951830832709633,1586369970000,2020-04-08 23:49:30,530,,"The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness & prosperity
#ThankYouCoronaWarriors ð

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",['#thankyoucoronawarriors'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,3,23,https://twitter.com/amarprasadreddy/status/1247952224967262208,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2167816332', 'username': 'amarprasadreddy'}, {'user_id': '3934957335', 'username': 'sureshpatelp28'}]",,,,,,1
1659,1659,1659,1247952173045919745,1247951707012657152,1586369958000,2020-04-08 23:49:18,530,,"The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness & prosperity
#ThankYouCoronaWarriors ð

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",['#thankyoucoronawarriors'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,3,23,https://twitter.com/amarprasadreddy/status/1247952173045919745,False,2,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2167816332', 'username': 'amarprasadreddy'}, {'user_id': '2544255516', 'username': 'AbhishekDurgCG'}]",,,,,,1
1663,1663,1663,1247952142406569984,1247951634526654466,1586369951000,2020-04-08 23:49:11,530,,"The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness & prosperity
#ThankYouCoronaWarriors ð

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",['#thankyoucoronawarriors'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,3,23,https://twitter.com/amarprasadreddy/status/1247952142406569984,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2167816332', 'username': 'amarprasadreddy'}, {'user_id': '797842611134267392', 'username': 'malikshubham1'}]",,,,,,1
1665,1665,1665,1247952093006024705,1247950146131894272,1586369939000,2020-04-08 23:48:59,530,,"The service done by Corona warriors is like mother giving life to a baby. The purest form of divinity. We must offer prayers for their happiness & prosperity
#ThankYouCoronaWarriors ð

urs,
@amarprasadreddy 
Advisor to Union Minister of State for Health and Family Welfare, Govt.",['#thankyoucoronawarriors'],[],2167816332,2167816332,amarprasadreddy,Amar Prasad Reddy,3,23,https://twitter.com/amarprasadreddy/status/1247952093006024705,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2167816332', 'username': 'amarprasadreddy'}, {'user_id': '168567590', 'username': 'rajeshsaha87'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '1447949844', 'username': 'AmitShah'}, {'user_id': '2990611686', 'username': 'JPNadda'}, {'user_id': '76300828', 'username': 'sanjayswadesh'}, {'user_id': '2424245586', 'username': 'BJPTripura'}, {'user_id': '1126846348718796800', 'username': 'Rajibbhatbjp'}]",,,,,,1
