,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text,labels
45,45,45,1244329579768098818,1244329579768098818,1585506264000,2020-03-29 23:54:24,530,,"Sometimes you miss the memories. Not just the person.
#stayhome #staysafe #freetime #chill #gathering #friends #people #bangalorediaries #freetime #art #friends #family #nature #life #living #corona #lockdown #day5â¦  https://www.instagram.com/p/B-U9b3ajUUs/?igshid=80zwbaufk2uyÂ â¦","['#stayhome', '#staysafe', '#freetime', '#chill', '#gathering', '#friends', '#people', '#bangalorediaries', '#freetime', '#art', '#friends', '#family', '#nature', '#life', '#living', '#corona', '#lockdown', '#day5']",[],328551761,328551761,adharshmalayil,Adharsh Malayil,7,23,https://twitter.com/adharshmalayil/status/1244329579768098818,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '328551761', 'username': 'adharshmalayil'}]",,,,,,-1
207,207,207,1245416980410028032,1245416980410028032,1585765521000,2020-04-01 23:55:21,530,,"Indian Council for Cultural Relations @ICCR_Delhi 
 is holding a Global Art Competition âUNITED AGAINST CORONA - EXPRESS THROUGH ARTâ  promoting #ArtinthetimeofCorona. Express yourselves and win prizes. See  https://www.iccr.gov.in/sites/default/files/uploadfiles/Competition_Guidelines.pdfÂ â¦ for details.  pic.twitter.com/59Yqm15Sjb pic.twitter.com/nYdWYoqUo6",['#artinthetimeofcorona'],[],2720527185,2720527185,PritamKumar4u,á¢áá¥Tê¯áªm á¦umáªá,3,23,https://twitter.com/PritamKumar4u/status/1245416980410028032,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2720527185', 'username': 'PritamKumar4u'}, {'user_id': '2812895832', 'username': 'ICCR_Delhi'}]",,,,,,0
451,451,451,1245774729618886656,1245774729618886656,1585850815000,2020-04-02 23:36:55,530,,"Comic Strip 
Day 9
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantined #artclassifiedâ¦  https://www.instagram.com/p/B-fOnX_DHxp/?igshid=ysujz3bz6fiqÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined', '#artclassified']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1245774729618886656,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
455,455,455,1245774641760788481,1245774641760788481,1585850794000,2020-04-02 23:36:34,530,,"Comic Strip 
Day 9
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B-fOk1RjsNG/?igshid=1g1eh0ra7vpnsÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1245774641760788481,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
474,474,474,1245773760835342336,1245773760835342336,1585850584000,2020-04-02 23:33:04,530,,"ANTIVIRUS ð
Swipe ð 
For more follow @iravikoranga
.
.
.
.
. 
#anrivirus #corona #coronamemes #webcomics #art #artbykoranga #ravikoranga #doodle #doodlesofinstagram #comichumor #betterworld #godsplan #seemedoodleâ¦  https://www.instagram.com/p/B-fOLH3j0Zo/?igshid=540jl95fyha6Â â¦","['#anrivirus', '#corona', '#coronamemes', '#webcomics', '#art', '#artbykoranga', '#ravikoranga', '#doodle', '#doodlesofinstagram', '#comichumor', '#betterworld', '#godsplan', '#seemedoodle']",[],267591077,267591077,iravikoranga,Ravi Koranga,4,23,https://twitter.com/iravikoranga/status/1245773760835342336,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '267591077', 'username': 'iravikoranga'}]",,,,,,0
646,646,646,1246137559509422080,1246137559509422080,1585937320000,2020-04-03 23:38:40,530,,"Things havenât changed much during #quarantine. Always have, and still #stayingwithart!ð
.
.
.
#doodlebookmark #doodlegirl #artduringisolation #quarantineart #quarantineartclub #staywithart #womenartistsofinstagramâ¦  https://www.instagram.com/p/B-hznRGFyM3/?igshid=sijwawelhmwyÂ â¦","['#quarantine', '#stayingwithart', '#doodlebookmark', '#doodlegirl', '#artduringisolation', '#quarantineart', '#quarantineartclub', '#staywithart', '#womenartistsofinstagram']",[],179470392,179470392,InSONAMiac,Sonamm Sharma,5,23,https://twitter.com/InSONAMiac/status/1246137559509422080,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '179470392', 'username': 'InSONAMiac'}]",,,,,,0
2253,2253,2253,1248673116408217600,1248673116408217600,1586541844000,2020-04-10 23:34:04,530,,"On the drawing board today. What are you creating right now?

#digitaldrawing #art #artist
#digitalsketch #digitalpainting #digital_art #digitalart #draw #drawings #drawing #illustration #artwork #lockdown #inthistogether #creatives #painting #ipad #ipadpro #pencil #procreate pic.twitter.com/wvzK80oa12","['#digitaldrawing', '#art', '#artist', '#digitalsketch', '#digitalpainting', '#digital_art', '#digitalart', '#draw', '#drawings', '#drawing', '#illustration', '#artwork', '#lockdown', '#inthistogether', '#creatives', '#painting', '#ipad', '#ipadpro', '#pencil', '#procreate']",[],18933832,18933832,AshrafGhori,Ashraf Ghori,5,23,https://twitter.com/AshrafGhori/status/1248673116408217600,False,9,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '18933832', 'username': 'AshrafGhori'}]",,,,,,0
2664,2664,2664,1249399967141310465,1249399967141310465,1586715139000,2020-04-12 23:42:19,530,,Retrace Your Steps for minimum damage #lockdown #retrace #steps #drawing #Sketching #blackandwhite #minimum #damage #StayHome #StaySafe #Covid_19 #coronavirus #UAE #artist #art #Lebanon #shishatli #tshirts #mugs #Stickers pic.twitter.com/E2Hr5aIs1j,"['#lockdown', '#retrace', '#steps', '#drawing', '#sketching', '#blackandwhite', '#minimum', '#damage', '#stayhome', '#staysafe', '#covid_19', '#coronavirus', '#uae', '#artist', '#art', '#lebanon', '#shishatli', '#tshirts', '#mugs', '#stickers']",[],1117493397613420544,1117493397613420544,ShiShatli,ShiShatli,7,23,https://twitter.com/ShiShatli/status/1249399967141310465,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1117493397613420544', 'username': 'ShiShatli'}]",,,,,,-1
3072,3072,3072,1249759915901628417,1249759915901628417,1586800958000,2020-04-13 23:32:38,530,,"Comic Strip 
Day 20
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B-7i3uDDg_l/?igshid=1v2w1bllo8oyvÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,1,23,https://twitter.com/kls_rt/status/1249759915901628417,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
3123,3123,3123,1249757934168559616,1249757934168559616,1586800485000,2020-04-13 23:24:45,530,,"Don't know, where covid 19 problem will lead, but we should be ready.  #blackout #blackoutpoetry #poetry #hindustantimes #newspaperblackout #inspiration #art @ Bhopal, Madhya Pradesh  https://www.instagram.com/p/B-7h99NHJIf/?igshid=853pt3zda88lÂ â¦","['#blackout', '#blackoutpoetry', '#poetry', '#hindustantimes', '#newspaperblackout', '#inspiration', '#art']",[],104199233,104199233,piyushimself,Piyush Jain,1,23,https://twitter.com/piyushimself/status/1249757934168559616,False,1,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '104199233', 'username': 'piyushimself'}]",,,,,,0
