,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
1818,1818,1818,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:21,530,,Kaafi time se kuch likha Ni ... Bt started writing again ... Due to this #lockdown #ThankYouCoronaWarriors that we are safe because of u... @DrKumarVishwas @rahatindori @SrBachchan @akshaykumar #stayhome #staysafe pic.twitter.com/8o76MqxIdp,"['#lockdown', '#thankyoucoronawarriors', '#stayhome', '#staysafe']",[],2231923519.0,2231923519.0,nisha2i,Nisha Singh,3,23,https://twitter.com/nisha2i/status/1253018688250277889,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2231923519', 'username': 'nisha2i'}, {'user_id': '141633175', 'username': 'DrKumarVishwas'}, {'user_id': '75821145', 'username': 'rahatindori'}, {'user_id': '145125358', 'username': 'SrBachchan'}, {'user_id': '31348594', 'username': 'akshaykumar'}]",,,,,kaafi   time   se   kuch   likha   ni   bt   start   write   due   lockdown   thankyoucoronawarrior   safe   u   stayhom   staysaf  ,-1
1950,1950,1950,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 22:53,530,,"Now, we are seeing superheroes in real who stand beside the helpless people in the world. In Bangladesh, service providers of different professions and volunteers are also working hard to fight coronavirus. Thanks to all the brave heroes.

#ThankYouCoronaWarriors #StayHome pic.twitter.com/xCOjX1anu1","['#thankyoucoronawarriors', '#stayhome']",[],1.2e+18,1.2e+18,fazimdhaka,Faisal Azim,3,22,https://twitter.com/fazimdhaka/status/1253011559653109760,False,0,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1198502788600229888', 'username': 'fazimdhaka'}]",,,,,see   superhero   real   stand   besid   helpless   peopl   world   bangladesh   servic   provid   differ   profess   volunt   also   work   hard   fight   coronaviru   thank   brave   hero   thankyoucoronawarrior   stayhom  ,-1
3444,3444,3444,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:44,530,,"Responding to Shri @narendramodi  ji's call, the country has united in tackling COVID-19. In this valiant battle for humanityâs future, Corona Warriors are at the forefront. I salute their grit and determination. Join. #ThankYouCoronaWarriors  https://thankyou.bjp.org/message?id=1588011184100Â â¦
@BJP4India",['#thankyoucoronawarriors'],[],1.18e+18,1.18e+18,MrSatyamRay,Mr. Satyam Ray(Alpha),1,23,https://twitter.com/MrSatyamRay/status/1254836427587805185,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1178200874562113539', 'username': 'MrSatyamRay'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '207809313', 'username': 'BJP4India'}]",,,,,respond   shri   ji   call   countri   unit   tackl   covid   valiant   battl   human   futur   corona   warrior   forefront   salut   grit   determin   join   thankyoucoronawarrior  ,1
1567,1567,1567,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 22:51,530,,"@indiatvnews Cine & Television Artists have come together for a humble cause to fight COVID-19, take pledge to Stay Safe at Home and Thanks all the community helpers #DilSeThankYou https://youtu.be/UiFc4rT0Yg4Â ",['#dilsethankyou'],[],2441141562.0,2441141562.0,hardikkactor,Hardik Khanna,2,22,https://twitter.com/hardikkactor/status/1252648544361742343,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2441141562', 'username': 'hardikkactor'}, {'user_id': '34245009', 'username': 'indiatvnews'}]",,,,,cine   televis   artist   come   togeth   humbl   caus   fight   covid   take   pledg   stay   safe   home   thank   commun   helper   dilsethanky  ,1
1785,1785,1785,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:26,530,,Salute @DelhiPolice #DelhiPolice #delhi #dilkipolice #DilSeThankYou #lockdown  https://twitter.com/DelhiPolice/status/1252858742703394827Â â¦,"['#delhipolice', '#delhi', '#dilkipolice', '#dilsethankyou', '#lockdown']",[],23955770.0,23955770.0,ParthaBarman,Partha Barman,3,23,https://twitter.com/ParthaBarman/status/1253019934663172096,False,0,0,0,https://twitter.com/DelhiPolice/status/1252858742703394827,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '23955770', 'username': 'ParthaBarman'}, {'user_id': '1850705408', 'username': 'DelhiPolice'}]",,,,,salut   delhipolic   delhi   dilkipolic   dilsethanky   lockdown  ,1
3950,3950,3950,1.26e+18,1.26e+18,1588100000000.0,28-04-2020 23:26,530,,"ðð Dil Se Thank You :- A STORY OF CORONA WARRIORS ðð
A Wonderful Creation By Mohit Savaliya
#coronavirus #coronavirusmemesððð #dilsethankyou #bollywood #mohitsavaliya #ms #comingsoonâ¼ï¸ #launchingsoon #coronapandemic #famous #popularpage #song #dilsethankyousong #poetry pic.twitter.com/9hHdFRNr02","['#coronavirus', '#coronavirusmemes', '#dilsethankyou', '#bollywood', '#mohitsavaliya', '#ms', '#comingsoon', '#launchingsoon', '#coronapandemic', '#famous', '#popularpage', '#song', '#dilsethankyousong', '#poetry']",[],8.8e+17,8.8e+17,SavaliyaMohit5,Mohit savaliya,2,23,https://twitter.com/SavaliyaMohit5/status/1255194114242547713,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '879573311306465280', 'username': 'SavaliyaMohit5'}]",,,,,dil   se   thank   stori   corona   warrior   wonder   creation   mohit   savaliya   coronaviru   coronavirusmem   dilsethanky   bollywood   mohitsavaliya   m   comingsoon   launchingsoon   coronapandem   famou   popularpag   song   dilsethankyousong   poetri  ,1
4960,4960,4960,1.26e+18,1.26e+18,1588270000000.0,30-04-2020 23:17,530,,"Cine & Television Artists have come together for a humble cause to fight COVID-19, take pledge to Stay Safe at Home and Thanks all the community helpers #DilSeThankYou
 https://youtu.be/UiFc4rT0Yg4Â 
#HBDDearestThalaAJlTH #Narendermodi #actors #shooting #mumbai","['#dilsethankyou', '#hbddearestthalaajlth', '#narendermodi', '#actors', '#shooting', '#mumbai']",[],2441141562.0,2441141562.0,hardikkactor,Hardik Khanna,4,23,https://twitter.com/hardikkactor/status/1255916594326384641,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2441141562', 'username': 'hardikkactor'}]",,,,,cine   televis   artist   come   togeth   humbl   caus   fight   covid   take   pledg   stay   safe   home   thank   commun   helper   dilsethanky   hbddearestthalaajlth   narendermodi   actor   shoot   mumbai  ,1
123,123,123,1.25e+18,1.25e+18,1587230000000.0,18-04-2020 23:39,530,,"We all are together to fight agaist Covid-19
#StaySafe #StayHome #Covid_19
@himantabiswa @sarbanandsonwal @narendramodi pic.twitter.com/CGTQAcZKsN","['#staysafe', '#stayhome', '#covid_19']",[],1618204190.0,1618204190.0,samimakram7,Samim Akram,6,23,https://twitter.com/samimakram7/status/1251573498465533952,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1618204190', 'username': 'samimakram7'}, {'user_id': '131188226', 'username': 'himantabiswa'}, {'user_id': '2570829264', 'username': 'sarbanandsonwal'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,togeth   fight   agaist   covid   staysaf   stayhom   covid  ,-1
235,235,235,1.25e+18,1.25e+18,1587230000000.0,18-04-2020 23:19,530,,"Swiss Alps light up in Indian tricolour to express message of solidarity amid COVID-19
#IndiaFightsCorona
#switzerland
#NationalLockdown
#Lockdown2
#Lockdown2Point0
#StaySafe #BeSafeâ¦  https://www.instagram.com/p/B_IZWNZgPLetqSpD0Y8sx6bcBx18Ca0-vEXPo80/?igshid=7h7swigswqdeÂ â¦","['#indiafightscorona', '#switzerland', '#nationallockdown', '#lockdown2', '#lockdown2point0', '#staysafe', '#besafe']",[],147631337.0,147631337.0,vermhashoke,Ashoka Varma Jalli,6,23,https://twitter.com/vermhashoke/status/1251568561396613120,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '147631337', 'username': 'vermhashoke'}]",,,,,swiss   alp   light   indian   tricolour   express   messag   solidar   amid   covid   indiafightscorona   switzerland   nationallockdown   lockdown   lockdownpoint   staysaf   besaf  ,-1
437,437,437,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:53,530,,Get medicine delivered to your home. Indore only! Visit  http://deliver4you.inÂ  #ecommerce #deliver4u #CoronavirusOutbreakindia #StaySafeStayHome #COVID #homequarantine pic.twitter.com/BL4eANVlKO,"['#ecommerce', '#deliver4u', '#coronavirusoutbreakindia', '#staysafestayhome', '#covid', '#homequarantine']",[],111881116.0,111881116.0,chandan0707,Chandan Kumar Mallik,7,23,https://twitter.com/chandan0707/status/1251939586613411840,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '111881116', 'username': 'chandan0707'}]",,,,,get   medicin   deliv   home   indor   visit   ecommerc   deliveru   coronavirusoutbreakindia   staysafestayhom   covid   homequarantin  ,1
