,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
1562,1562,1562,1.25845e+18,1.25845e+18,1588870000000.0,07-05-2020 23:11,530,," https://youtu.be/iNi0d9xrPlAÂ 

2 minutes to Save Your Lives |COVID-19 (CORONAVIRUS) | 

This video lists out some basic and outmost important precautions to be undertaken and few of the tips to cut off your quanrantine time easily.

#shethbooks #corona #Covid_19 #pandemic #learning","['#shethbooks', '#corona', '#covid_19', '#pandemic', '#learning']",[],380761933.0,380761933.0,sphbooks,SHETH Publishing House,4,23,https://twitter.com/sphbooks/status/1258451819526750217,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '380761933', 'username': 'sphbooks'}]",,,,,minut   save   life   covid   coronaviru   video   list   basic   outmost   import   precaut   undertaken   tip   cut   quanrantin   time   easili   shethbook   corona   covid   pandem   learn  ,-1
2263,2263,2263,1.2588e+18,1.2588e+18,1588960000000.0,08-05-2020 22:00,530,,"Country Is Under Lockdown But Not The Learnings. We Are Coming Live With Extraordinary Tips on Public Speaking. Join Us On 10th May at 6 PM & Improve Your Public Speaking Skills.
#publicspeaking #speakingskills #skills4all #learning #lockdown #countryliving #synonymsolutions pic.twitter.com/AUAQ1aoe5J","['#publicspeaking', '#speakingskills', '#skills4all', '#learning', '#lockdown', '#countryliving', '#synonymsolutions']",[],9.35179e+17,9.35179e+17,syn_solutions_,Synonym Solutions,5,22,https://twitter.com/syn_solutions_/status/1258796526672871424,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '935178526918979584', 'username': 'syn_solutions_'}]",,,,,countri   lockdown   learn   come   live   extraordinari   tip   public   speak   join   u   th   may   pm   improv   public   speak   skill   publicspeak   speakingskil   skillsal   learn   lockdown   countryliv   synonymsolut  ,-1
111,111,111,1.25737e+18,1.25737e+18,1588620000000.0,04-05-2020 23:39,530,,"Hold my hand and I will take you there someday, somehow and somewhere.
.
.
.
.
.
.
.
.
.
.
.
#Lockdown #OilPastels #AbstractArt #InstaPic #InstaDaily #Experiment #lovepainting #lovetodraw #art #drawing #paintingâ¦  https://www.instagram.com/p/B_xoWV8FTPa/?igshid=13ih81yps2jnbÂ â¦","['#lockdown', '#oilpastels', '#abstractart', '#instapic', '#instadaily', '#experiment', '#lovepainting', '#lovetodraw', '#art', '#drawing', '#painting']",[],606305890.0,606305890.0,WebMuskitier,Pratik Shah,1,23,https://twitter.com/WebMuskitier/status/1257371784422273029,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '606305890', 'username': 'WebMuskitier'}]",,,,,hold   hand   take   someday   somehow   somewher   lockdown   oilpastel   abstractart   instap   instadaili   experi   lovepaint   lovetodraw   art   draw   paint  ,0
323,323,323,1.25736e+18,1.25736e+18,1588610000000.0,04-05-2020 23:03,530,Rainawari,"EFfEct Of LoCkDown
#weddingmehendi #simplemehndi #art #mendhinight #mehenditattoo #mehendiinspire #forall #weddingmehndi #inspo_ #intricatehenna #mehandilove #bridaldesigns #mehndistain #mhendi #mehandiartist #mehendidesigns #DesignThinking @NatGeoPhotos @KCreatick @Photoshop pic.twitter.com/xtw1p0eIbm â at Rainawari","['#weddingmehendi', '#simplemehndi', '#art', '#mendhinight', '#mehenditattoo', '#mehendiinspire', '#forall', '#weddingmehndi', '#inspo_', '#intricatehenna', '#mehandilove', '#bridaldesigns', '#mehndistain', '#mhendi', '#mehandiartist', '#mehendidesigns', '#designthinking']",[],8.21933e+17,8.21933e+17,Kira_Raqib,RA Qib,1,23,https://twitter.com/Kira_Raqib/status/1257362738818486274,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '821932913587580928', 'username': 'Kira_Raqib'}, {'user_id': '117662694', 'username': 'NatGeoPhotos'}, {'user_id': '1123511284228546561', 'username': 'KCreatick'}, {'user_id': '65525881', 'username': 'Photoshop'}]",,,,,effect   lockdown   weddingmehendi   simplemehndi   art   mendhinight   mehenditattoo   mehendiinspir   foral   weddingmehndi   inspo   intricatehenna   mehandilov   bridaldesign   mehndistain   mhendi   mehandiartist   mehendidesign   designthink   rainawari  ,-1
915,915,915,1.25809e+18,1.25809e+18,1588790000000.0,06-05-2020 23:31,530,,"Sine-Cosine dance create patterns!
.
.
.
.
.
#sinecosine #pattern #animation #2d #art #2danimation #sine #cosines #rhino #grasshopper #geometry #geometricart #patterndesign #creation #digitalart #architecture #quarantinetalent #quarantine  pic.twitter.com/vtGe4PjoJG","['#sinecosine', '#pattern', '#animation', '#2d', '#art', '#2danimation', '#sine', '#cosines', '#rhino', '#grasshopper', '#geometry', '#geometricart', '#patterndesign', '#creation', '#digitalart', '#architecture', '#quarantinetalent', '#quarantine']",[],8.53706e+17,8.53706e+17,vaibhav_7071,Vaibhav Vadadoriya,3,23,https://twitter.com/vaibhav_7071/status/1258094579485736966,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '853706061311655936', 'username': 'vaibhav_7071'}]",,,,,sine   cosin   danc   creat   pattern   sinecosin   pattern   anim   art   danim   sine   cosin   rhino   grasshopp   geometri   geometricart   patterndesign   creation   digitalart   architectur   quarantinetal   quarantin  ,1
1319,1319,1319,1.25807e+18,1.25807e+18,1588780000000.0,06-05-2020 22:07,530,,"Abstract Drawing, Marker A4 paper, By Makhdoom Sadiq Khan 6May20

#creative #neoexpressionism #artistinisolation #imaginative #abstract #abstractexpressionism #abstractdrawing #lockdown #covid19crisis #pandemic #triangles #mysterious #haunteddrawing #scary #makhdoomsadiqkhan pic.twitter.com/xzFXeC5GpE","['#creative', '#neoexpressionism', '#artistinisolation', '#imaginative', '#abstract', '#abstractexpressionism', '#abstractdrawing', '#lockdown', '#covid19crisis', '#pandemic', '#triangles', '#mysterious', '#haunteddrawing', '#scary', '#makhdoomsadiqkhan']",[],407031052.0,407031052.0,makhdoomsk,Makhdoom Sadiq Khan - An Abstract Painter,3,22,https://twitter.com/makhdoomsk/status/1258073502588047362,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '407031052', 'username': 'makhdoomsk'}]",,,,,abstract   draw   marker   paper   makhdoom   sadiq   khan   may   creativ   neoexpression   artistinisol   imagin   abstract   abstractexpression   abstractdraw   lockdown   covidcrisi   pandem   triangl   mysteri   haunteddraw   scari   makhdoomsadiqkhan  ,1
1840,1840,1840,1.25882e+18,1.25882e+18,1588960000000.0,08-05-2020 23:36,530,Rose Villa,Gray Area #artist #watercolor #Quarantine #painting #BlackAndWhite #BlackandWhiteart #artistsontwitter pic.twitter.com/7Z3sbhUpCg â at Rose Villa,"['#artist', '#watercolor', '#quarantine', '#painting', '#blackandwhite', '#blackandwhiteart', '#artistsontwitter']",[],3099644144.0,3099644144.0,lizasbrushes,Liza Hasan,5,23,https://twitter.com/lizasbrushes/status/1258820572760412166,False,6,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3099644144', 'username': 'lizasbrushes'}]",,,,,gray   area   artist   watercolor   quarantin   paint   blackandwhit   blackandwhiteart   artistsontwitt   rose   villa  ,-1
2639,2639,2639,1.25917e+18,1.25917e+18,1589040000000.0,09-05-2020 22:41,530,,"#Covid_19 #ArtistOnTwitter #art #SubscribeNow #Pencildrawing #pencilcolour #Hardwork
#blogging #StayAtHomeSaveLives
Modern Arch Gallery: Pencile Colour Techniques  https://www.modernarchgallery.in/2020/05/pencile-colour-techniques.html?spref=twÂ â¦","['#covid_19', '#artistontwitter', '#art', '#subscribenow', '#pencildrawing', '#pencilcolour', '#hardwork', '#blogging', '#stayathomesavelives']",[],166132314.0,166132314.0,subendu79,subendu choudhary,6,22,https://twitter.com/subendu79/status/1259169057716211712,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '166132314', 'username': 'subendu79'}]",,,,,covid   artistontwitt   art   subscribenow   pencildraw   pencilcolour   hardwork   blog   stayathomesavel   modern   arch   galleri   pencil   colour   techniqu  ,0
3797,3797,3797,1.25989e+18,1.25947e+18,1589220000000.0,11-05-2020 22:11,530,,"We have made one #shortmovie  named #Trushti. This is the @YouTubeIndia link  https://youtu.be/T43zGKLFYX0Â 
#shortfilm #film #lockdown #director #indiefilm #filmfestival #cinema #actor #movie #cinematography #shortfilms #art #filmmakers #movies #MothersDay #letsmakeafilmindia pic.twitter.com/gHtCazCmPe","['#shortmovie', '#trushti', '#shortfilm', '#film', '#lockdown', '#director', '#indiefilm', '#filmfestival', '#cinema', '#actor', '#movie', '#cinematography', '#shortfilms', '#art', '#filmmakers', '#movies', '#mothersday', '#letsmakeafilmindia']",[],9.20703e+17,9.20703e+17,Pooja3pathi,Pooja Pandey Tripathi,1,22,https://twitter.com/Pooja3pathi/status/1259886434993004547,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '920703226214625280', 'username': 'Pooja3pathi'}, {'user_id': '180380465', 'username': 'YouTubeIndia'}]",,,,,made   one   shortmovi   name   trushti   link   shortfilm   film   lockdown   director   indiefilm   filmfestiv   cinema   actor   movi   cinematographi   shortfilm   art   filmmak   movi   mothersday   letsmakeafilmindia  ,0
3854,3854,3854,1.26027e+18,1.25972e+18,1589310000000.0,12-05-2020 23:51,530,,"We Appreciate Vidharbh News For Broadcasting Mastishaala 2020 News.
#satprerna #mastishaala2020 #onlineseries #kids #children #lockdown #summercamp #onlinemastishaala2020 #happiness #news #article #inthenews #trending #joy #masti #knowledge","['#satprerna', '#mastishaala2020', '#onlineseries', '#kids', '#children', '#lockdown', '#summercamp', '#onlinemastishaala2020', '#happiness', '#news', '#article', '#inthenews', '#trending', '#joy', '#masti', '#knowledge']",[],2956313503.0,2956313503.0,TejasviHindu,"à¤¬à¤°à¤à¤¾ à¤°à¤¾à¤¨à¥(à¤¸à¤¨à¤¾à¤¤à¤¨à¥)ð©100%Follow Back,If U Follow Meâ¨",2,23,https://twitter.com/TejasviHindu/status/1260274021075161088,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2956313503', 'username': 'TejasviHindu'}, {'user_id': '736330471', 'username': 'Satprerna'}]",,,,,appreci   vidharbh   news   broadcast   mastishaala   news   satprerna   mastishaala   onlineseri   kid   child   lockdown   summercamp   onlinemastishaala   happi   news   articl   inthenew   trend   joy   masti   knowledg  ,1
