,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
0,0,0,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,"Business Standard: End of coronavirus pandemic is near, says Nobel laureate Michael Levitt.
 https://www.business-standard.com/article/current-affairs/end-of-coronavirus-pandemic-is-near-says-nobel-laureate-michael-levitt-120032400668_1.htmlÂ â¦",[],[],8.69018E+17,8.69018E+17,Dharmendra41049,Dharmendra Kumar,3,23,https://twitter.com/Dharmendra41049/status/1242881400186892291,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '869018357432950785', 'username': 'Dharmendra41049'}]",,,,,nan,-1
1,1,1,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,"Designed By:- The Rohit Sharma
.
#therohitsharmapdt #graphicdesigncommunity #graphicdesign #graphicdesigncentral #inovation #inovativedesign #graphicart #digitalart #digitaldesign #logodesigner #corona #coronavirusâ¦  https://www.instagram.com/p/B-Kq4LhHhPM/?igshid=2akp5zte3uwtÂ â¦","['#therohitsharmapdt', '#graphicdesigncommunity', '#graphicdesign', '#graphicdesigncentral', '#inovation', '#inovativedesign', '#graphicart', '#digitalart', '#digitaldesign', '#logodesigner', '#corona', '#coronavirus']",[],9.69106E+17,9.69106E+17,therohitsharmap,Rohit Sharma,3,23,https://twitter.com/therohitsharmap/status/1242881390712143872,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '969105551270428672', 'username': 'therohitsharmap'}]",,,,,nan,-1
2,2,2,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,@AUThackeray Sir thank you so much for All your Care But some of us are still not following order of the time . My neighbours are treating this lockdown as vacation . There relatives staying in nearby areas are frequent visitors and till late night they h,[],[],2226621902,2226621902,amazingrups,Rupali Gurav,3,23,https://twitter.com/amazingrups/status/1242881383518748672,FALSE,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2226621902', 'username': 'amazingrups'}, {'user_id': '1606048885', 'username': 'AUThackeray'}]",,,,,nan,1
3,3,3,1.24288E+18,1.24282E+18,1.58516E+12,25-03-2020 23:59,530,,"Indian Govt has not allowed cheap Elisa and rapid test n choosen expensive PCR. Private capped at 4500, not many can afford. 
Strategy, less testing, less cases, Govt looks good. Control thru lockdown. 
But without testing it will not end n may reoccur after lockdown.",[],[],39454122,39454122,lovekeshchandra,Lovekesh Chandra,3,23,https://twitter.com/lovekeshchandra/status/1242881339382042624,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '39454122', 'username': 'lovekeshchandra'}, {'user_id': '45261768', 'username': 'srivatsayb'}, {'user_id': '935835219612987393', 'username': '4PatientCare'}]",,,,,nan,-1
4,4,4,1.24288E+18,1.24288E+18,1.58516E+12,25-03-2020 23:59,530,,Coronavirus killing all the people but beyandh2 killing us with Vikram part please show some positive vibes difficult to see maya in dis conditions that too for 2 weeks #Beyhadh2,['#beyhadh2'],[],1310490444,1310490444,brindhu87,Babitha,3,23,https://twitter.com/brindhu87/status/1242881321774354432,FALSE,5,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1310490444', 'username': 'brindhu87'}]",,,,,nan,-1
5,5,5,1.24288E+18,1.24285E+18,1.58516E+12,25-03-2020 23:59,530,,"#StrangerThanFiction
#TheEyesOfDarkness
Now British secret agents James Bond 007 enters in China with his girl friend n solves the death of doctor n gets #Antidose of #Corona n the lock out countries opens to normalcy killing the virus n
#JamesBond0 landed in #TajMahal with girlf pic.twitter.com/Bayyecb9Nc","['#strangerthanfiction', '#theeyesofdarkness', '#antidose', '#corona', '#jamesbond0', '#tajmahal']",[],7.51732E+17,7.51732E+17,Chakradhar2311,Chakradhar Mohanta,3,23,https://twitter.com/Chakradhar2311/status/1242881320214118400,FALSE,0,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '751732004131991552', 'username': 'Chakradhar2311'}]",,,,,nan,-1
6,6,6,1.24324E+18,1.24324E+18,1.58525E+12,26-03-2020 23:59,530,,"@narendramodi 
Sir there are essential facilities (n95 mask corona kit ) provided by hospital administration to nursing staff on Corona opd duty &no risk cover given to contractual nursing staff",[],[],7.75754E+17,7.75754E+17,Dilipsharma87,Dilip Sharma,4,23,https://twitter.com/Dilipsharma87/status/1243243797724581888,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '775754487122190336', 'username': 'Dilipsharma87'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,nan,1
7,7,7,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"me : alright time to sleep
my brain : Top 50 mistakes you've made

#MEMES #nightthoughts #Covid_19india #Quarantine","['#memes', '#nightthoughts', '#covid_19india', '#quarantine']",[],7.27432E+17,7.27432E+17,Sandeepraathore,Sandeep Singh Rathore,7,23,https://twitter.com/Sandeepraathore/status/1244330962764189696,FALSE,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '727431639396147200', 'username': 'Sandeepraathore'}]",,,,,nan,-1
8,8,8,1.24433E+18,1.2443E+18,1.58551E+12,29-03-2020 23:59,530,,Dear Mr president you're already failing with almost 140000 Corona cases in your country.,[],[],8.07214E+17,8.07214E+17,ghimire_lomas,@lomasg,7,23,https://twitter.com/ghimire_lomas/status/1244330944296710144,FALSE,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '807213935933857792', 'username': 'ghimire_lomas'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,,nan,-1
9,9,9,1.24433E+18,1.24433E+18,1.58551E+12,29-03-2020 23:59,530,,"@PMOIndia @narendramodi @CMOMaharashtra the communication put out to prevent Covid 19 is wrong, you should not use handkerchief to cover mouth to sneeze or cough as continuous use allows virus to stay on hand and other surfaces the wrong info will lead to",[],[],102577526,102577526,sona158,X,7,23,https://twitter.com/sona158/status/1244330903880364032,FALSE,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '102577526', 'username': 'sona158'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '2597666894', 'username': 'CMOMaharashtra'}]",,,,,nan,-1
