,emo,labels,sentiment,text,tweet_id,normalized_text
1,,1,,the jio company launched their new plans called work from home plans ,,pani   launch   plan   call   work   home   plan  
2,,1,,apart from the jokes you may you need anyone talk was away from home before lockdown know feels like hell you need comforting any way helpful glad❤️,,apart   joke   may   need   anyon   talk   away   home   lockdown   know   feel   like   hell   need   fort   way   help   glad  
3,,1,,work from home ,,work   home  
4,,1,,put home quarantine stamp hands take aadhaar pan bank details later check their health every week stop spread from hyderabad state 60000 airtravellers still not tested and escaped proper checks ,,home   quarantin   stamp   hand   take   aadhaar   bank   detail   later   check   health   everi   week   stop   spread   hyderabad   state   airtravel   still   test   escap   proper   check  
5,,1,,just want ask there’ corresponding fine those companies that don’ comply work from home regulations thanks ,,want   correspond   fine   pani   pli   work   home   regul   thank  
6,,1,,you revoke article 370 become silent you shutdown internet services due security purposes silent now when whole world under global emergency everyone work from then why you still not restored services the aspirants ,,revok   articl   be   silent   shutdown   internet   servic   secur   purpos   silent   whole   world   global   emerg   everyon   work   still   restor   servic   aspir  
7,,-1,,suffering with very bad internet connection very bad service from jio please make yourself worthy that people can trust you had recharge with work from home plan but cannot use your network what good ,,suffer   internet   connect   servic   pleas   make   worthi   peopl   trust   recharg   work   home   plan   can   not   network   good  
8,,-1,,first time doesn want leave from office first time doesn want stay home but there option have lockdown ourself have show our mental toughness pass this crucial phase ,,first   time   want   leav   offic   first   time   want   stay   home   option   lockdown   ourself   show   mental   tough   pa   crucial   phase  
9,,-1,,jazz legend manu dibango has died paris aged after catching coronavirus was best known for his 1972 song soul makossa and often fused jazz and funk music with traditional sounds from his home country … igshid 1fusp1s3k3uz5 …,,jazz   legend   manu   dibango   die   pari   age   catch   coronaviru   best   known   song   soul   makossa   often   fuse   jazz   funk   music   tradit   sound   home   countri   igshid   fuspskuz  
10,,1,,stay indoor stay safe just the way this spidey safe from other environmental challenges its home lets all stay indoor safe healthy vanish this pandemic disease out shot … igshid 1lejmlzf47rm4 …,,stay   indoor   stay   safe   way   spidey   safe   environment   challeng   home   let   stay   indoor   safe   healthi   vanish   pandem   diseas   shot   igshid   lejmlzfrm  
11,,1,,finally carelessness has gone make wiseness high keep yourselves quarantine your loved ones safe this situation and dangerous time stay home keep washing your hands stay least metres away from anyone you meet  sending you hope for best pic twitter com lhhudsvdqo,,final   careless   gone   make   wise   high   keep   quarantin   love   one   safe   situat   danger   time   stay   home   keep   wash   hand   stay   least   metr   away   anyon   meet   send   hope   best   twitter   lhhudsvdqo  
12,,1,,has not announced paid holidays possible employees has work from home …,,announc   paid   holiday   possibl   employe   work   home  
13,,-1,,everytime think would work hathway always disappointed everyday internet being disconnected how person will work from home with this kind broadband pic twitter com skmbrah3pf – sector noida,,everytim   think   would   work   hathway   alway   disappoint   everyday   internet   disconnect   person   work   home   kind   broadband   twitter   skmbrahpf   sector   noida  
14,,1,,good call coronavirus dubai private sector employees must work from home dubai private sector employees must work from home 997340 … via ,,good   call   coronaviru   dubai   privat   sector   employe   must   work   home   dubai   privat   sector   employe   must   work   home   via  
15,,-1,,four more cases from bandipora tested positive for covid stay home save lives,,four   case   bandipora   test   posit   covid   stay   home   save   life  
16,,1,,office every one are working from home and everyone seem work more than what they work office need find the balance ,,offic   everi   work   home   everyon   seem   work   work   offic   need   find   balanc  
17,,1,,work from home has range options choose from let all ensure together …,,work   home   rang   option   choos   ensur   togeth  
18,,-1,,… 175 that how far away labourer antresh village from delhi walking home because there work wages food there public transport take him home this what the has done india most vulnerable,,far   away   labour   antresh   villag   delhi   walk   home   work   wage   food   public   transport   take   home   done   india   vulner  
19,,1,,while are struggling with corona and work from home activities thoda aap kuch corona internet  sucks here pic twitter com 9xgbaif2bj,,struggl   corona   work   home   activ   thoda   kuch   corona   internet   suck   twitter   xgbaifbj  
20,,1,,can understand cause the situation not good but right now using other network and not able work from home believe can provide new connection ,,understand   caus   situat   good   right   use   network   abl   work   home   believ   provid   connect  
21,,-1,,please improve internet speed with this current speed very difficult work from home please something,,pleas   improv   internet   speed   current   speed   difficult   work   home   pleas   someth  
22,,-1,,please improve internet speed with this current speed very difficult work from home please something ,,pleas   improv   internet   speed   current   speed   difficult   work   home   pleas   someth  
23,,1,,have ordered wifi adapter which will useful for doing work from home due the current situation have ordered last saturday and yet delivered has been reached the final center can you please help getting early possible ,,order   wifi   adapt   use   work   home   current   situat   order   last   saturday   yet   deliv   reach   final   center   pleas   help   get   earli   possibl  
24,,1,,can understand point basically also working from home bcz this corona know you can find this problematic this reality anyways reported this and will more bihar quarantine doctors viral letters nitish kumar nmch 36750 …,,understand   point   basic   also   work   home   corona   know   find   problemat   realiti   anyway   report   bihar   quarantin   doctor   viral   letter   nitish   kumar   nmch  
25,,1,,district hospital dewas there mask sanitizer kit kindly guide how staff will work class one doctor comes from home and they have hygine issue but what about nurses safai health,,district   hospit   dewa   mask   sanit   kindli   guid   staff   work   class   doctor   e   home   hygin   issu   nurs   safai   health  
26,,1,,work from home nenaikkere,,work   home   nenaikker  
27,,1,,take tips quarantine from those elders who are spending lock down kinda life closed home room from years just think about ,,take   tip   quarantin   elder   spend   lock   kinda   life   close   home   room   year   think  
28,,1,,dear sir avneesh kumar tiwari from pratapgarh uttarpradesh currently varanasi due the lockdown unable home town please help for this have bike also your department allow then can reach home,,dear   avneesh   kumar   tiwari   pratapgarh   uttarpradesh   current   varanasi   lockdown   unabl   home   town   pleas   help   bike   also   depart   allow   reach   home  
29,,1,,work from home muna kami  …,,work   home   muna   kami  
30,,1,,work from home uniform,,work   home   uniform  
31,,1,,work from home paridhabangal pic twitter com pesuiyyqbb,,work   home   paridhabang   twitter   pesuiyyqbb  
32,,-1,,why power supply interrupt netaji nagar pac road doing work from home how will able support this case,,power   suppli   interrupt   netaji   nagar   road   work   home   abl   support   case  
33,,1,,stay your home support india and save you your family from corona virus ,,stay   home   support   india   save   famili   corona   viru  
34,,1,,alsl lot people can from other countries arw kept under quarantine some are home isolation ,,alsl   peopl   countri   kept   quarantin   home   isol  
35,,1,,please something for rikshwa wala daily wages have one suggestion can give some foods from our home these people but tell how can since one coming due lockdown make someway where can and give food these people social distancing mind ,,pleas   someth   rikshwa   wala   daili   wage   suggest   give   food   home   peopl   tell   sinc   e   lockdown   make   someway   give   food   peopl   social   distanc   mind  
36,,1,,online work from home survey form usp send twt …,,onlin   work   home   survey   form   send  
37,,1,,have recharge months pack and then work from home pack that means total data 2gb 5gb but after two finished showing data exhausted please fine the attached screenshot pic twitter com arr74oxxbq,,recharg   month   pack   work   home   pack   mean   total   data   gb   gb   finish   show   data   exhaust   pleas   fine   attach   screenshot   twitter   arroxxbq  
38,,1,,lucky man seems don have work  are working from home and helping indian and global economy our way  ,,lucki   seem   work   work   home   help   indian   global   economi   way  
39,,1,,work from home ืออะไร ในเมื่ center work not home office เราสู้,,work   home   center   work   home   offic  
40,,1,,work from home @ new delhi igshid r78fyg2nu64d …,,work   home   delhi   igshid   rfygnud  
41,,-1,,ask those who have work study from home wfh being affected ,,work   studi   home   affect  
42,,1,,work from home little bit boring but this time saftey mine and others covid pic twitter com 10cxttqwad – alamgari bazar,,work   home   littl   bore   time   saftey   mine   other   covid   twitter   cxttqwad   alamgari   bazar  
